PB,INDICADOR,NIVEL_PIRAMIDE,RANGO_EDAD,PB1,SEXO,ESTRATO,P33,ipm_depto,INDICE,saber_punt_global_mean
8001,0.0,0,7,1,2,2,0.0,0.2301888,"15,81",286.6227450980392
5001,0.0,0,6,1,2,2,0.0,0.2120180810731992,"24,42",256.24231242312425
5001,0.0,0,6,1,2,2,0.0,0.2120180810731992,"24,42",256.24231242312425
5001,0.076923076923,1,4,1,1,2,1.0,0.2120180810731992,"24,42",256.24231242312425
68001,0.461538461538,2,4,1,1,2,2.0,0.20767434317223482,"24,13",302.11744966442956
68001,0.153846153846,1,7,1,2,3,1.0,0.20767434317223482,"24,13",302.11744966442956
5001,0.0,0,3,1,2,2,0.0,0.2120180810731992,"24,42",256.24231242312425
5001,0.0,0,7,1,2,2,0.0,0.2120180810731992,"24,42",256.24231242312425
11001,0.307692307692,2,1,1,2,2,1.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.994764397905,3,3,1,1,2,1.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.0,0,7,1,1,2,0.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.153846153846,1,3,1,2,2,4.0,0.1587797311271975,"25,31",288.6242687747036
8001,0.076923076923,1,3,1,2,2,1.0,0.2301888,"15,81",286.6227450980392
8001,0.089005235602,1,3,1,2,2,1.0,0.2301888,"15,81",286.6227450980392
8001,0.0,0,5,1,1,2,0.0,0.2301888,"15,81",286.6227450980392
11001,0.076923076923,1,3,1,2,2,1.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.230769230769,2,3,1,2,3,1.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.153846153846,1,3,1,1,2,1.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.076923076923,1,4,1,2,2,1.0,0.1587797311271975,"25,31",288.6242687747036
5001,0.230769230769,1,2,1,1,2,1.0,0.2120180810731992,"24,42",256.24231242312425
5001,0.076923076923,1,6,1,2,2,3.0,0.2120180810731992,"24,42",256.24231242312425
5001,0.538461538461,2,2,1,1,2,1.0,0.2120180810731992,"24,42",256.24231242312425
5001,0.230769230769,1,2,1,1,2,1.0,0.2120180810731992,"24,42",256.24231242312425
11001,0.0,0,6,1,2,3,0.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.153846153846,1,2,1,2,2,2.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.0,0,4,1,2,2,3.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.076923076923,1,4,1,2,2,1.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.384615384615,1,4,1,2,2,1.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.230769230769,2,1,1,2,2,1.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.0,0,7,1,2,2,0.0,0.1587797311271975,"25,31",288.6242687747036
11001,0.076923076923,1,5,2,2,2,2.0,0.1587797311271975,"25,31",288.6242687747036
8001,0.076923076923,1,4,1,2,2,1.0,0.2301888,"15,81",286.6227450980392
8001,0.0,0,4,1,2,2,0.0,0.2301888,"15,81",286.6227450980392
8001,0.076923076923,1,5,1,1,2,1.0,0.2301888,"15,81",286.6227450980392
8001,0.329842931937,2,2,1,2,2,1.0,0.2301888,"15,81",286.6227450980392
8001,0.0,0,5,1,2,2,0.0,0.2301888,"15,81",286.6227450980392
8001,0.076923076923,1,2,1,1,2,1.0,0.2301888,"15,81",286.6227450980392
68001,0.076923076923,1,1,1,1,3,3.0,0.20767434317223482,"24,13",302.11744966442956
68001,0.153846153846,1,4,1,2,3,3.0,0.20767434317223482,"24,13",302.11744966442956
68001,0.153846153846,1,5,1,1,1,3.0,0.20767434317223482,"24,13",302.11744966442956
68001,1.104712041884,3,3,1,2,3,1.0,0.20767434317223482,"24,13",302.11744966442956
68001,0.0,0,5,1,1,3,0.0,0.20767434317223482,"24,13",302.11744966442956
68001,0.0,0,2,1,2,3,1.0,0.20767434317223482,"24,13",302.11744966442956
68001,0.0,0,5,1,1,3,0.0,0.20767434317223482,"24,13",302.11744966442956
5001,0.0,0,7,1,2,2,0.0,0.2120180810731992,"24,42",256.24231242312425
5001,0.0,0,6,1,1,2,0.0,0.2120180810731992,"24,42",256.24231242312425
5001,0.0,0,5,1,2,2,0.0,0.2120180810731992,"24,42",256.24231242312425
54001,0.461538461538,2,3,1,2,2,1.0,0.26416399286987524,"13,90",258.7784503631961
